username,text,retweets,favorites,timestamp
@b_luisaa,fiz uma ,0,0,5 de jun
@CrauPalmeiras, prakaba esses bambi tem vergonha não! essa ,0,0,5 de jun
@marceloritos,E lá to eu de novo na ,0,0,5 de jun
@syleneII,Da serie ´´Por ai `` ...parte 2 ,0,0,5 de jun
@ThayMarcall,Meu pai fez uma ,0,0,5 de jun
@werneckmoore, fjsbtjsjw rainha ,0,0,5 de jun
@lovatoharm0ny,Ta uma ,0,1,5 de jun
@RichardYamada_,Uma ,0,0,5 de jun
@Newsalia,O q não gosto das feministas bras é a ,1,2,5 de jun
@Nando_Weaver, é tipo uma ,0,0,5 de jun
@Itsjhen_bitch, tb acho o meu uma ,0,0,5 de jun
@little_rainn, EUUUU PLEASE MOCAAAA EU CARALEO ,0,0,5 de jun
@RafaelOregon," Ta todo mundo usando com acento, assim ñ dá essa ",0,0,5 de jun
@laismeury," BUGUEI COM ESSE REMIX, ",0,0,5 de jun
@RafaelOregon,Gente que ,0,0,5 de jun
@Nevezju,Phaela na cozinha só sai ,0,0,5 de jun
@srtamays,a minha tl ta uma ,0,1,5 de jun
@ElliZari,"perdemos 4 clipes de dueto sos, MP é MKT, ADH tem um vídeo com o triplo de visus, Inexplicable é ",0,0,5 de jun
@MathHenryke29,"UÉ, QUAL O PROBLEMA COM OS ADOLESCENTES QUE FAZEM ",0,0,5 de jun
@Rafaah_Cordeiro,"""Tá uma ",0,1,5 de jun
username,text,retweets,favorites,timestamp
@b_luisaa,fiz uma ,0,0,5 de jun
@CrauPalmeiras, prakaba esses bambi tem vergonha não! essa ,0,0,5 de jun
@um1up,Tem molho de tomate e ervilha ,0,0,5 de jun
@marceloritos,E lá to eu de novo na ,0,0,5 de jun
@syleneII,Da serie ´´Por ai `` ...parte 2 ,0,0,5 de jun
@ThayMarcall,Meu pai fez uma ,0,0,5 de jun
@werneckmoore, fjsbtjsjw rainha ,0,0,5 de jun
@lovatoharm0ny,Ta uma ,0,1,5 de jun
@RichardYamada_,Uma ,0,0,5 de jun
@Newsalia,O q não gosto das feministas bras é a ,1,2,5 de jun
@Nando_Weaver, é tipo uma ,0,0,5 de jun
@Itsjhen_bitch, tb acho o meu uma ,0,0,5 de jun
@little_rainn, EUUUU PLEASE MOCAAAA EU CARALEO ,0,0,5 de jun
@RafaelOregon," Ta todo mundo usando com acento, assim ñ dá essa ",0,0,5 de jun
@laismeury," BUGUEI COM ESSE REMIX, ",0,0,5 de jun
@RafaelOregon,Gente que ,0,0,5 de jun
@Nevezju,Phaela na cozinha só sai ,0,0,5 de jun
@srtamays,a minha tl ta uma ,0,1,5 de jun
@ElliZari,"perdemos 4 clipes de dueto sos, MP é MKT, ADH tem um vídeo com o triplo de visus, Inexplicable é ",0,0,5 de jun
@MathHenryke29,"UÉ, QUAL O PROBLEMA COM OS ADOLESCENTES QUE FAZEM ",0,0,5 de jun
